window,method,backbone,seed,alpha,threshold,validation_fpr,test_fpr,violation_ratio,seen_precision,seen_recall,seen_f1,seen_tp,ood_precision,ood_recall,ood_f1,ood_tp,false_positives
1m,base,sage,3,0.05,0.214528352022171,0.0499898017837607,0.0494149932320928,0.988299864641857,0.0556343019135365,0.9515151515151516,0.1051221961834616,157,0.2646247240618101,0.5375560538116592,0.3546597633136095,959,2665
1m,base,sage,4,0.001,0.9938215017318728,0.0009827372012386,0.0012794125827446,1.279412582744618,0.5660377358490566,0.5454545454545454,0.5555555555555556,90,0.028169014084507,0.0011210762331838,0.0021563342318059,2,69
1m,base,sage,4,0.01,0.765712857246399,0.0099942519144833,0.0110326157497543,1.1032615749754315,0.1991924629878869,0.896969696969697,0.3259911894273127,148,0.2752740560292326,0.1266816143497758,0.1735124760076775,226,595
1m,base,sage,4,0.05,0.1292104870080948,0.0499898017837607,0.0502864771652667,1.0057295433053344,0.0550522648083623,0.9575757575757576,0.1041186161449752,158,0.2721417069243156,0.5683856502242153,0.3680580762250454,1014,2712
1m,ours,gat,0,0.001,0.9958081245422364,0.0009827372012386,0.0010754482579592,1.075448257959244,0.5606060606060606,0.4484848484848485,0.4983164983164983,74,0.0,0.0,0.0,0,58
1m,ours,gat,0,0.01,0.8469068408012391,0.0099942519144833,0.0101425896052363,1.014258960523632,0.2026239067055393,0.8424242424242424,0.326674500587544,139,0.031858407079646,0.0100896860986547,0.0153256704980842,18,547
1m,ours,gat,0,0.05,0.3292934894561768,0.0499898017837607,0.0475051454636479,0.9501029092729598,0.056353591160221,0.9272727272727272,0.10625,153,0.2959604286892003,0.6036995515695067,0.397197123363452,1077,2562
1m,ours,gat,1,0.001,0.9925742149353028,0.0009827372012386,0.0008158572991414,0.8158572991414956,0.6333333333333333,0.4606060606060606,0.5333333333333333,76,0.0,0.0,0.0,0,44
1m,ours,gat,1,0.01,0.8182820677757264,0.0099942519144833,0.0103465539300216,1.0346553930021694,0.1994261119081779,0.8424242424242424,0.3225058004640371,139,0.2619047619047619,0.1109865470852018,0.1559055118110236,198,558
1m,ours,gat,1,0.05,0.2814946174621582,0.0499898017837607,0.0480428695926276,0.9608573918525524,0.0554137805322639,0.9212121212121211,0.1045392022008253,152,0.2790762381747356,0.5622197309417041,0.3730011156563778,1003,2591
1m,ours,gat,2,0.001,0.9963216781616212,0.0009827372012386,0.0004264708609148,0.4264708609148727,0.7261904761904762,0.3696969696969697,0.4899598393574297,61,0.0,0.0,0.0,0,23
1m,ours,gat,2,0.01,0.8601297736167909,0.0099942519144833,0.0106246871001835,1.0624687100183567,0.1929577464788732,0.8303030303030303,0.3131428571428571,137,0.2783375314861461,0.1238789237668161,0.1714507370054305,221,573
1m,ours,gat,2,0.05,0.3295159041881562,0.0499898017837607,0.0482653761287571,0.9653075225751424,0.0555152394775036,0.9272727272727272,0.1047586442998973,153,0.2976254722072315,0.6182735426008968,0.4018214936247723,1103,2603
1m,ours,gat,3,0.001,0.997076749801636,0.0009827372012386,0.0008714839331738,0.8714839331738703,0.5052631578947369,0.2909090909090909,0.3692307692307692,48,0.0,0.0,0.0,0,47
1m,ours,gat,3,0.01,0.8894941210746766,0.0099942519144833,0.0101425896052363,1.014258960523632,0.2014598540145985,0.8363636363636363,0.3247058823529412,138,0.0161870503597122,0.0050448430493273,0.0076923076923076,9,547
1m,ours,gat,3,0.05,0.3637146949768067,0.0499898017837607,0.0489143535258014,0.9782870705160296,0.0548190612683625,0.9272727272727272,0.1035182679296346,153,0.2484330484330484,0.4887892376681614,0.3294295428787306,872,2638
1m,ours,gat,4,0.001,0.9962583780288696,0.0009827372012386,0.0009085683558621,0.90856835586212,0.5701754385964912,0.3939393939393939,0.4659498207885305,65,0.0,0.0,0.0,0,49
1m,ours,gat,4,0.01,0.8437544703483583,0.0099942519144833,0.010253842873301,1.025384287330107,0.2008670520231213,0.8424242424242424,0.3243873978996499,139,0.0705882352941176,0.0235426008968609,0.0353089533417402,42,553
1m,ours,gat,4,0.05,0.3395117223262787,0.0499898017837607,0.0470972168140772,0.941944336281545,0.0568139621240252,0.9272727272727272,0.1070678796361091,153,0.3173877989787692,0.6619955156950673,0.4290644868301544,1181,2540
1m,ours,gcn,0,0.001,0.9946704506874086,0.0009827372012386,0.0009085683558621,0.90856835586212,0.631578947368421,0.509090909090909,0.5637583892617449,84,0.0,0.0,0.0,0,49
1m,ours,gcn,0,0.01,0.780689835548401,0.0099942519144833,0.0100684207598598,1.006842075985982,0.2061403508771929,0.8545454545454545,0.3321554770318021,141,0.3321033210332103,0.1513452914798206,0.2079322294955718,270,543
1m,ours,gcn,0,0.05,0.2526990473270417,0.0499898017837607,0.0497858374589753,0.9957167491795073,0.054910242872228,0.9454545454545454,0.1037924151696606,156,0.284953395472703,0.5997757847533632,0.3863513269543239,1070,2685
1m,ours,gcn,1,0.001,0.9961069226264956,0.0009827372012386,0.0007231462424208,0.723146242420871,0.6020408163265306,0.3575757575757576,0.4486692015209125,59,0.0,0.0,0.0,0,39
1m,ours,gcn,1,0.01,0.8117651343345643,0.0099942519144833,0.0106246871001835,1.0624687100183567,0.1963534361851332,0.8484848484848485,0.3189066059225512,140,0.1635036496350365,0.0627802690582959,0.0907249898744431,112,573
1m,ours,gcn,1,0.05,0.2733304500579834,0.0499898017837607,0.0477832786338098,0.9556655726761972,0.0563896008787989,0.9333333333333332,0.106353591160221,154,0.2883181441590721,0.5852017937219731,0.3863089731729879,1044,2577
1m,ours,gcn,2,0.001,0.9937644004821778,0.0009827372012386,0.0010198216239268,1.0198216239268696,0.5801526717557252,0.4606060606060606,0.5135135135135135,76,0.0,0.0,0.0,0,55
1m,ours,gcn,2,0.01,0.791711449623108,0.0099942519144833,0.0100498785485156,1.0049878548515696,0.2041116005873715,0.8424242424242424,0.3286052009456264,139,0.3316892725030826,0.1507847533632287,0.2073217726396917,269,542
1m,ours,gcn,2,0.05,0.2506672441959381,0.0499898017837607,0.0490256067938662,0.9805121358773248,0.056051410210639,0.9515151515151516,0.1058664868509777,157,0.284244721169464,0.5885650224215246,0.3833515881708653,1050,2644
1m,ours,gcn,3,0.001,0.9938382506370546,0.0009827372012386,0.0009085683558621,0.90856835586212,0.6171875,0.4787878787878787,0.5392491467576792,79,0.0,0.0,0.0,0,49
1m,ours,gcn,3,0.01,0.8043639063835145,0.0099942519144833,0.0107173981569041,1.0717398156904192,0.1949860724233983,0.8484848484848485,0.3171007927519819,140,0.35706340378198,0.1799327354260089,0.2392843831531867,321,578
1m,ours,gcn,3,0.05,0.2657435238361359,0.0499898017837607,0.0481726650720364,0.9634533014407298,0.0566448801742919,0.9454545454545454,0.1068859198355601,156,0.2966973470492691,0.6143497757847534,0.4001460387002555,1096,2598
1m,ours,gcn,4,0.001,0.9966398477554322,0.0009827372012386,0.0009641949898944,0.9641949898944948,0.5398230088495575,0.3696969696969697,0.4388489208633093,61,0.0,0.0,0.0,0,52
1m,ours,gcn,4,0.01,0.847135365009308,0.0099942519144833,0.0103465539300216,1.0346553930021694,0.1994261119081779,0.8424242424242424,0.3225058004640371,139,0.2228412256267409,0.0896860986547085,0.1278976818545164,160,558
